StimType,recording_time,Fs,type,elect,contact,amp,env_max,env_min,env_amp,mod_ratio,distance,d1_amp,d1_env_max,d1_env_min,d1_env_amp,d1_mod_ratio,mv_env_max,mv_env_amp,mv_env_max_norm,mv_env_amp_norm
LF,25.42933333,30000,1,c,10,1517.44156,1517.44156,-1634.010702,1575.726131,2.076819527,29.5,-0.066226879,-0.066226879,0.068453994,-0.067340437,1.86E-06,1530.463858,1588.771214,0.248276358,0.246002704
LF,25.42933333,30000,1,c,9,1305.180931,1305.180931,-1414.023524,1359.602227,2.083392724,33,-0.058134085,-0.058134085,0.060878123,-0.059506104,1.55E-06,1311.041819,1364.837254,0.190573176,0.188850796
LF,25.42933333,30000,1,c,8,1110.502967,1110.502967,-1207.863839,1159.183403,2.087672771,36.5,-0.049170418,-0.049170418,0.052164212,-0.050667315,1.15E-06,1125.5573,1174.572217,0.141794818,0.140291794
LF,25.42933333,30000,1,c,7,960.9880032,960.9880032,-1048.874041,1004.931022,2.091453834,40,-0.045369385,-0.045369385,0.047705949,-0.046537667,2.07E-06,954.8027474,999.1780529,0.096890117,0.095528102
LF,25.42933333,30000,1,c,6,792.9172723,792.9172723,-873.922195,833.4197337,2.102160623,43.5,-0.039886745,-0.039886745,0.0406642,-0.040275472,4.21E-06,811.8953554,853.784491,0.059308609,0.058421093
LF,25.42933333,30000,1,c,5,681.7807905,681.7807905,-764.2246439,723.0027172,2.120924283,47,-0.019122041,-0.019122041,0.019424008,-0.019273024,2.51E-06,711.2536835,751.6436715,0.032842058,0.03235295
LF,25.42933333,30000,1,c,4,659.0629878,659.0629878,-737.9541394,698.5085636,2.119701991,50.5,-0.008168284,-0.008168284,0.008743669,-0.008455977,6.60E-07,655.1488595,695.1073867,0.01808772,0.01792389
LF,25.42933333,30000,1,c,3,624.6028003,624.6028003,-703.0189586,663.8108794,2.12554564,54,-0.007875785,-0.007875785,0.007799654,-0.00783772,1.69E-06,629.1994263,668.6546563,0.011263589,0.011172685
LF,25.42933333,30000,1,c,2,603.9324908,603.9324908,-683.3565607,643.6445257,2.131511504,57.5,-0.007971179,-0.007971179,0.008514608,-0.008242893,8.04E-07,599.1132793,637.8553435,0.003351592,0.003312156
LF,25.42933333,30000,1,c,1,568.8045467,568.8045467,-643.4167038,606.1106253,2.13117363,61,-0.010036555,-0.010036555,0.011411388,-0.010723972,-9.65E-08,586.3685188,624.8775755,0,0
LF,25.42933333,30000,1,a,15,326.7506242,326.7506242,-280.8657573,303.8081907,1.859572213,12,-0.004866349,-0.004866349,0.003782139,-0.004324244,1.29E-06,318.2345135,296.2407637,1,1
LF,25.42933333,30000,1,a,14,309.7184028,309.7184028,-267.6282704,288.6733366,1.864101933,15.5,-0.030963584,-0.030963584,0.018586382,-0.024774983,7.30E-05,248.8248548,240.9549464,0.74037612,0.771097717
LF,25.42933333,30000,1,a,13,110.0055374,110.0055374,-150.761086,130.3833117,2.370486337,19,-0.032737981,-0.032737981,0.024352136,-0.028545059,4.89E-05,166.7588248,169.3048584,0.433411621,0.474441731
LF,25.42933333,30000,1,a,12,80.55253424,80.55253424,-97.16331961,88.85792692,2.206210587,22.5,-0.001265213,-0.001265213,0.002215399,-0.001740306,-4.76E-06,97.23570527,112.4808018,0.173363346,0.239170609
LF,25.42933333,30000,1,a,11,101.1490441,101.1490441,-135.2532896,118.2011668,2.337168243,26,-0.003820762,-0.003820762,0.004367643,-0.004094202,4.48E-06,78.50292698,89.08586798,0.103294185,0.142307543
LF,25.42933333,30000,1,a,10,53.80720259,53.80720259,-66.58981772,60.19851015,2.237563273,29.5,-0.001877011,-0.001877011,0.003910201,-0.002893606,-1.59E-05,80.98873782,92.11520051,0.112592254,0.154850021
LF,25.42933333,30000,1,a,9,88.00996676,88.00996676,-107.8818823,97.94592451,2.225791649,33,0.004678593,0.004678593,-0.004972822,0.004825707,-9.44E-06,76.12484179,84.04096572,0.094399058,0.121419914
LF,25.42933333,30000,1,a,8,86.55735603,86.55735603,-101.399569,93.97846249,2.171472577,36.5,-0.001026108,-0.001026108,0.001989635,-0.001507871,-9.05E-06,85.13151119,93.10507037,0.128088122,0.158948422
LF,25.42933333,30000,1,a,7,80.82721079,80.82721079,-93.95443741,87.3908241,2.162410981,40,-0.003723013,-0.003723013,0.004202164,-0.003962588,2.63E-06,75.96027788,82.53654401,0.093783514,0.115191091
LF,25.42933333,30000,1,a,6,60.49626682,60.49626682,-71.98442405,66.24034543,2.189898614,43.5,-0.000556491,-0.000556491,0.000133726,-0.000345109,6.67E-06,72.75175081,79.53541105,0.081782154,0.102765369
LF,25.42933333,30000,1,a,5,76.93177482,76.93177482,-93.01835243,84.97506362,2.209101865,47,0.00079776,0.00079776,-0.001043043,0.000920402,1.42E-06,67.83621031,74.63285547,0.063395784,0.082467105
LF,25.42933333,30000,1,a,4,66.0805893,66.0805893,-79.28572542,72.68315736,2.199833813,50.5,-0.002611392,-0.002611392,0.003430996,-0.003021194,-4.66E-06,67.22146552,73.82830921,0.061096357,0.079136007
LF,25.42933333,30000,1,a,3,58.65203245,58.65203245,-69.00138084,63.82670665,2.176453363,54,-0.002296628,-0.002296628,0.003623635,-0.002960131,-1.74E-05,58.24560471,62.82403387,0.027522531,0.033574525
LF,25.42933333,30000,1,a,2,50.00419239,50.00419239,-53.9202828,51.96223759,2.078315242,57.5,-0.000983021,-0.000983021,0.000833867,-0.000908444,6.23E-06,53.47570368,57.7521811,0.009680919,0.012575312
LF,25.42933333,30000,1,a,1,51.77088621,51.77088621,-63.16431192,57.46759907,2.220073994,61,0.00050477,0.00050477,-0.002641151,0.00157296,4.05E-05,50.8875393,54.71491833,0,0
