S_ID,Run,StimType,blocks_1,blocks_2,blocks_3,blocks_4,blocks_5,blocks_6,stimdur_sec,stimdur_min
19,1,0,1,2,3,4,NA,NA,602.62057420006,10.0436762366677
19,1,0,5,6,7,8,NA,NA,591.72998129995506,9.86216635499926
19,1,0,9,10,11,12,NA,NA,616.393002000055,10.2732167000009
19,2,0,2,3,5,6,9,10,440.104966100072,7.33508276833454
19,2,0,1,4,7,8,11,12,417.793490399956,6.96322483999926
20,1,1,1,2,3,4,NA,NA,766.2975291,12.771625485
20,1,1,5,6,7,8,NA,NA,719.201868599997,11.98669781
20,1,1,9,10,11,12,NA,NA,658.031115999998,10.9671852666666
20,2,1,1,2,7,9,10,12,393.2209984,6.55368330666667
20,2,1,3,4,5,6,8,11,405.986596000002,6.76644326666671
20,1,0,1,2,3,4,NA,NA,675.485535100001,11.2580922516667
20,1,0,5,6,7,8,NA,NA,641.1701557,10.6861692616667
20,1,0,9,10,11,12,NA,NA,601.7761769,10.0296029483333
20,2,0,1,2,7,9,10,12,347.821315499999,5.79702192499999
20,2,0,3,4,5,6,8,11,381.2375158,6.35395859666666
21,1,1,1,2,3,4,NA,NA,721.608114300005,12.0268019050001
21,1,1,5,6,7,8,NA,NA,709.165591099998,11.8194265183333
21,1,1,9,10,11,12,NA,NA,666.517399799981,11.1086233299997
21,2,1,1,4,5,7,10,12,438.363581300015,7.30605968833358
21,2,1,2,3,6,8,9,11,384.224810799991,6.40374684666652
21,1,0,1,2,3,4,NA,NA,672.349442200037,11.2058240366673
21,1,0,5,6,7,8,NA,NA,664.621494499967,11.0770249083328
21,1,0,9,10,11,12,NA,NA,647.758042500005,10.7959673750001
21,2,0,1,4,5,7,10,12,417.915305300034,6.96525508833389
21,2,0,2,3,6,8,9,11,434.132595900039,7.23554326500065
