ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
21,TI 1:1,Hippocampus,Mid,1,8092,0.244859269,0.028000841,0.242795087,0.134600073,0.377111405,0.259469677,0.028571205,0.257771391
21,TI 1:1,Hippocampus,Post,1,7399,0.187800094,0.022087808,0.18742767,0.122565925,0.269624174,0.22639751,0.023493236,0.22518561
21,TI 1:3,Electrode,Ant,1.5,18328,0.19657665,0.121673035,0.208283298,0,0.616476154,0.270098924,0.129479861,0.276113793
21,TI 1:3,Electrode,Mid,1.5,19576,0.098622403,0.085194944,0.075937108,0,0.506765768,0.246777602,0.159244956,0.214069722
21,TI 1:3,Electrode,Post,1.5,18588,0.062022266,0.045057189,0.0562228,0,0.230538422,0.221644174,0.148254422,0.188825446
21,TI 1:3,Hippocampus,Ant,1.5,9444,0.152017125,0.019220776,0.152438998,0.07634607,0.261566311,0.237706895,0.026949731,0.236427406
21,TI 1:3,Hippocampus,Mid,1.5,8092,0.130745408,0.017912272,0.128515929,0.070489101,0.210973203,0.258459108,0.028119045,0.259637045
21,TI 1:3,Hippocampus,Post,1.5,7399,0.093900047,0.011043904,0.093713835,0.061282963,0.134812087,0.245696218,0.02545761,0.243195921
22,TI 1:1,Electrode,Ant,1,20886,0.134283242,0.098365417,0.116730029,0,0.487754648,0.387453136,0.239482215,0.351971776
22,TI 1:1,Electrode,Mid,1,15222,0.165029977,0.131498755,0.134657471,0,0.717583286,0.281016428,0.144478438,0.276578485
22,TI 1:1,Electrode,Post,1,18864,0.110771273,0.088304615,0.088678161,0,0.496039714,0.255269244,0.154860716,0.243702963
22,TI 1:1,Hippocampus,Ant,1,11395,0.179508101,0.028562848,0.172289774,0.081972115,0.370003134,0.249319292,0.038430845,0.244856305
22,TI 1:1,Hippocampus,Mid,1,11504,0.231614492,0.039517769,0.243763126,0.077038258,0.440272331,0.263016885,0.03940495,0.267266501
22,TI 1:1,Hippocampus,Post,1,11861,0.210189556,0.034415605,0.211079895,0.109220803,0.323013306,0.240933969,0.028133469,0.242184147
22,TI 1:3,Electrode,Ant,1.5,20886,0.172073256,0.131161844,0.144423105,0,0.706982329,0.264276345,0.151200803,0.243184943
22,TI 1:3,Electrode,Mid,1.5,15222,0.126014719,0.100821067,0.10179386,0,0.666826758,0.268704967,0.139547625,0.268081539
22,TI 1:3,Electrode,Post,1.5,18864,0.058141818,0.04433312,0.048431594,0,0.248019857,0.323364281,0.211335991,0.310309847
22,TI 1:3,Hippocampus,Ant,1.5,11395,0.159565242,0.024975003,0.158782125,0.067353204,0.319639802,0.214413697,0.03319278,0.20834218
22,TI 1:3,Hippocampus,Mid,1.5,11504,0.146930107,0.024015054,0.144509085,0.057931218,0.286819726,0.247595221,0.038483759,0.256604694
22,TI 1:3,Hippocampus,Post,1.5,11861,0.105102183,0.017218121,0.105539948,0.054610401,0.161506653,0.256298771,0.02676354,0.254635856
5,TI 1:1,Electrode,Ant,1,22661,0.173947005,0.10140022,0.180675305,0,0.4931674,0.296757901,0.152460667,0.304212148
5,TI 1:1,Electrode,Mid,1,21622,0.107342773,0.087599883,0.084368506,0,0.548799396,0.17313839,0.097494003,0.160149415
5,TI 1:1,Electrode,Post,1,23247,0.102583865,0.073768885,0.095074879,0,0.399579792,0.198334103,0.110602939,0.19704597
5,TI 1:1,Hippocampus,Ant,1,10768,0.209616629,0.017740942,0.210101783,0.123671785,0.326219589,0.262156668,0.024515384,0.262612745
5,TI 1:1,Hippocampus,Mid,1,21104,0.221238333,0.022221896,0.228509232,0.104758695,0.309871793,0.24272352,0.023412947,0.245507009
5,TI 1:1,Hippocampus,Post,1,15579,0.200187587,0.026595268,0.203629822,0.104659744,0.299844533,0.230506639,0.024346165,0.235003158
5,TI 1:3,Electrode,Ant,1.5,22661,0.18017551,0.118884248,0.179745508,0,0.60133034,0.24253659,0.114032727,0.246066146
5,TI 1:3,Electrode,Mid,1.5,21622,0.084504145,0.067187122,0.067880315,0,0.364229617,0.161104172,0.094009423,0.147895521
5,TI 1:3,Electrode,Post,1.5,23247,0.055165669,0.036884106,0.053823123,0,0.206833212,0.240105598,0.147253467,0.237745288
5,TI 1:3,Hippocampus,Ant,1.5,10768,0.157348354,0.016054513,0.15725638,0.088036768,0.250106215,0.235886649,0.020973966,0.236567296
5,TI 1:3,Hippocampus,Mid,1.5,21104,0.130599938,0.016822246,0.129693054,0.054098506,0.218675613,0.233485341,0.021799968,0.239607686
5,TI 1:3,Hippocampus,Post,1.5,15579,0.100093794,0.013297634,0.101814911,0.052329872,0.149922267,0.245666165,0.024727118,0.24908708
6,TI 1:1,Electrode,Ant,1,19536,0.155429043,0.105519754,0.14577925,0,0.488325629,0.300379541,0.175851791,0.276821249
6,TI 1:1,Electrode,Mid,1,20789,0.161257422,0.12050711,0.133354838,0,0.594004397,0.278098584,0.123394186,0.277207655
6,TI 1:1,Electrode,Post,1,19438,0.109463122,0.081830595,0.09074865,0,0.460093138,0.297112805,0.171993636,0.26929076
6,TI 1:1,Hippocampus,Ant,1,14516,0.210927785,0.01929307,0.210436419,0.117156476,0.404545337,0.278465696,0.025367426,0.275804404
6,TI 1:1,Hippocampus,Mid,1,12290,0.240767775,0.02782133,0.239695057,0.130825773,0.363586038,0.267573445,0.022775481,0.266874339
6,TI 1:1,Hippocampus,Post,1,12162,0.229972085,0.028435171,0.231229097,0.111788966,0.374700963,0.274355566,0.02435654,0.275345422
6,TI 1:3,Electrode,Ant,1.5,19536,0.157984737,0.116692643,0.138698092,0,0.591115334,0.239070528,0.124513636,0.231668294
6,TI 1:3,Electrode,Mid,1.5,20789,0.112450515,0.081368715,0.097571122,0,0.534612057,0.282505559,0.145757147,0.269619315
6,TI 1:3,Electrode,Post,1.5,19438,0.059983149,0.043221686,0.05144306,0,0.238692045,0.383416994,0.25280244,0.344681347
6,TI 1:3,Hippocampus,Ant,1.5,14516,0.173001803,0.016761293,0.172040172,0.099753186,0.326351404,0.24469674,0.021948638,0.242600059
6,TI 1:3,Hippocampus,Mid,1.5,12290,0.145689435,0.015265381,0.143827893,0.066017024,0.233098671,0.255670732,0.025222435,0.25435839
6,TI 1:3,Hippocampus,Post,1.5,12162,0.114986043,0.014217585,0.115614548,0.055894483,0.187350482,0.296547306,0.025261278,0.295769759
8,TI 1:1,Electrode,Ant,1,20747,0.183532325,0.123603141,0.174601078,0,0.637132179,0.297678333,0.157112862,0.283185369
8,TI 1:1,Electrode,Mid,1,17442,0.22099136,0.147075006,0.205137103,0,0.725866692,0.307834231,0.136398054,0.307859835
